Name,Director,Actor1,Actor2,Release Year,IMDB Rating,Budget,Bclass,Revenue,Action,Adventure,Comedy,Crime,Drama,Fantasy,Horror,Romance,Thriller,Result,FR,FRR,Final
Raid,113,53,370,2018,7.4,450000000,3,1428100000,1,0,0,1,1,0,0,0,0,1,5,1,3
Welcome to New York,87,160,522,2018,1.9,452533884,3,194233586,0,0,1,0,1,0,0,0,0,0,1,0,0
Kill Dil,170,195,397,2014,4.3,456000000,3,299000000,1,0,0,0,1,0,0,1,0,0,2,0,0
Ram Gopal Varma Ki Aag,107,101,520,2007,1.7,457659834,3,164088254,1,1,1,0,0,0,0,0,0,0,1,0,0
Namaste England,294,138,204,2018,1.8,460000000,3,110200000,0,0,1,0,1,0,0,1,0,0,1,0,0
Joker,158,112,522,2012,2.4,470000000,3,321087500,0,0,1,0,0,0,0,0,0,0,2,0,0
Raja Natwarlal,297,28,409,2014,6.1,470000000,3,295000000,0,0,0,1,0,0,0,0,1,0,2,0,0
Udta Punjab,334,141,394,2016,7.8,470000000,3,960800000,1,0,0,1,1,0,0,0,0,1,4,1,3
Batla House,323,150,335,2019,7.2,470000000,3,1133800000,1,0,0,0,1,0,0,0,1,1,5,1,3
Yuvvraaj,55,79,14,2008,4.1,480000000,3,312000000,0,0,1,0,1,0,0,1,0,0,2,0,0
Delhi-6,6,37,259,2009,6,480000000,3,521750000,0,0,1,0,1,0,0,0,0,0,3,0,0
Shootout at Wadala,248,14,150,2013,5.9,480000000,3,750000000,1,0,0,1,0,0,0,0,0,0,4,1,1
Goliyon Ki Rasleela Ram-Leela,191,195,391,2013,6.4,480000000,3,2200000000,0,0,0,0,1,0,0,1,0,0,5,1,1
Romeo Akbar Walter,295,150,425,2019,6.5,480000000,3,534800000,1,0,0,0,1,0,0,0,1,1,3,0,2
Sui Dhaaga: Made in India,115,179,287,2018,6.8,480000000,3,1250900000,0,0,1,0,1,0,0,0,0,1,5,1,3
Drishyam,181,53,324,2015,8.2,480000000,3,1110500000,0,0,0,1,1,0,0,0,0,1,5,1,3
Batti Gul Meter Chalu,303,141,40,2018,6,490000000,3,666200000,0,0,0,0,1,0,0,0,0,0,3,0,0
Kites,46,75,353,2010,6.1,500000000,3,483300000,1,0,0,0,1,0,0,1,0,0,2,0,0
Kurbaan,316,121,463,2009,5.7,500000000,3,429000000,1,0,0,1,1,0,0,0,0,0,2,0,0
London Dreams,294,79,53,2009,5.4,500000000,3,410000000,0,0,0,0,1,0,0,0,0,0,2,0,0
Veer,209,79,170,2010,4.6,500000000,3,647100000,1,1,0,0,1,0,0,0,0,0,3,0,0
Roy,78,166,280,2015,3.3,500000000,3,560000000,1,0,0,0,1,0,0,0,0,0,3,0,0
Kabhi Alvida Naa Kehna,283,190,416,2006,6.1,500000000,3,827285553,0,0,0,0,1,0,0,1,0,0,4,1,1
Satyagraha,245,101,463,2013,5.9,500000000,3,797140221,0,0,0,0,1,0,0,0,0,0,4,1,1
Murder 2,228,28,280,2011,6.2,500000000,3,1150000000,1,0,0,0,1,0,1,0,0,0,5,1,1
Guzaarish,191,75,290,2010,7.4,500000000,3,649000000,0,0,0,0,1,0,0,0,0,1,3,0,2
Holiday,79,112,522,2014,7.2,500000000,3,1784000000,1,0,0,0,0,0,0,0,1,1,5,1,3
Rustom,251,112,370,2016,7.1,502800000,3,2103600000,0,0,0,1,1,0,0,0,1,1,5,1,3
Action Replayy,294,112,290,2010,4.2,510000000,4,462943750,0,0,1,0,0,0,0,1,0,0,2,0,0
Tezz,168,14,53,2012,3.9,520000000,4,261000000,1,0,0,1,1,0,0,0,0,0,2,0,0
Housefull,265,112,391,2010,5.4,530000000,4,1868200000,0,0,1,0,0,0,0,0,0,0,5,1,1
Housefull 2,265,112,150,2012,5.2,530000000,4,1868200000,1,0,1,0,0,0,0,0,0,0,5,1,1
Bhaag milkha bhaag,139,137,114,2013,8.2,530000000,4,1637800000,0,0,0,0,1,0,0,0,0,1,5,1,3
Phata Poster Nikhla Hero,166,141,370,2013,4.8,540000000,4,720000000,1,0,1,0,0,0,0,0,0,0,3,0,0
Players,133,86,37,2012,4.1,550000000,4,485600000,1,0,0,1,0,0,0,0,1,0,2,0,0
Bol Bachchan,150,101,53,2012,5.5,550000000,4,1470000000,1,0,1,0,0,0,0,0,0,0,5,1,1
Zindagi Na Milegi Dobara,146,75,137,2011,8.1,550000000,4,1530000000,0,0,1,0,1,0,0,0,0,1,5,1,3
Happy Ending,186,121,370,2014,5.4,570000000,4,380000000,0,0,1,0,0,0,0,1,0,0,2,0,0
Thank You,51,112,114,2011,4.6,580000000,4,710232500,0,0,1,0,0,0,0,0,0,0,3,0,0
R... Rajkumar,199,141,522,2013,5.2,580000000,4,995000000,1,0,0,0,0,0,0,1,0,0,4,1,1
Half Girlfriend,228,216,40,2017,4.3,580000000,4,977300000,0,0,0,0,1,0,0,1,0,0,4,1,1
Agneepath,192,75,516,2012,6.9,580000000,4,1950000000,1,0,0,0,1,0,0,0,0,1,5,1,3
Student of the Year,283,200,394,2012,5.4,590000000,4,1091000000,0,0,1,0,1,0,0,1,0,0,4,1,1
Student of the Year 2,100,63,276,2019,2.6,590000000,4,1091000000,0,0,0,0,1,0,0,1,0,0,4,1,1
Baaghi 2,187,63,446,2018,4.9,590000000,4,2531800000,1,0,0,0,0,0,0,0,1,0,5,1,1
Ae Dil Hai Mushkil,283,154,290,2016,5.8,590000000,4,2235100000,0,0,0,0,1,0,0,0,0,0,5,1,1
Aladin,49,101,193,2009,4.6,600000000,4,60000000,1,1,0,0,0,1,0,0,0,0,1,0,0
Bodyguard,156,79,463,2011,4.6,600000000,4,2500000000,1,0,1,0,0,0,0,1,0,0,5,1,1
Rockstar,302,154,24,2011,7.7,600000000,4,1080000000,0,0,0,0,1,0,0,0,0,1,4,1,3
Kabir Singh,301,141,424,2019,7.1,600000000,4,3790000000,0,0,0,0,1,0,0,1,0,1,5,1,3
Good Newwz,81,112,463,2019,7.2,600000000,4,3185700000,0,0,1,0,1,0,0,0,0,1,5,1,3
Raajneeti,245,53,154,2010,7.1,600000000,4,1455000000,0,0,0,0,1,0,0,0,1,1,5,1,3
Wanted,199,79,273,2009,6.6,600000000,4,1200000000,1,0,0,0,0,0,0,0,1,1,5,1,3
Khiladi 786,30,112,265,2012,4.2,630000000,4,970500000,1,0,1,0,0,0,0,0,0,0,4,1,1
Befikre,257,195,294,2016,3.9,640000000,4,1039800000,0,0,1,0,1,0,0,1,0,0,4,1,1
Humshakals,265,121,90,2014,1.7,640000000,4,866000000,0,0,1,0,0,0,0,0,0,0,4,1,1
Aiyaary,10,200,80,2018,5.3,650000000,4,340700000,1,0,0,0,0,0,0,0,1,0,2,0,0
Desi Boyz,247,112,150,2011,5.7,650000000,4,770000000,0,0,1,0,1,0,0,0,0,0,4,1,1
Himmatwala,265,53,512,2013,1.7,680000000,4,657900000,1,0,1,0,0,0,0,0,0,0,3,0,0
Boss,37,112,183,2013,5.1,700000000,4,848200000,1,0,0,0,0,0,0,0,0,0,4,1,1
Singham Returns,150,53,463,2014,5.7,700000000,4,2165600000,1,0,0,0,1,0,0,0,0,0,5,1,1
Jai Ho,215,79,284,2014,5.2,700000000,4,1830000000,1,0,0,0,1,0,0,0,0,0,5,1,1
Race 2,133,121,14,2013,5.3,700000000,4,1620000000,1,0,0,1,0,0,0,0,1,0,5,1,1
Pagalpanti,51,14,150,2019,3,720000000,4,91122500,1,0,1,0,0,0,0,0,0,0,1,0,0
"""Its Entertainment",264,112,512,2014,4.5,750000000,4,948500000,1,0,1,0,0,0,0,0,0,0,4,1,1
Ek Tha Tiger,344,79,390,2012,5.5,750000000,4,3200000000,1,0,0,0,0,0,0,1,1,0,5,1,1
Veere Di Wedding,109,114,463,2018,3.2,750000000,4,1388000000,0,0,1,0,0,0,0,0,0,0,5,1,1
Yeh Jawaani Hai Deewani,138,154,391,2013,7.1,750000000,4,2956130000,0,0,1,0,1,0,0,0,0,1,5,1,3
Don 2,140,190,366,2011,7.1,760000000,4,2020000000,1,0,0,1,0,0,0,0,1,1,5,1,3
De De Pyaar De,3,53,362,2019,6.6,770000000,4,1430000000,0,0,1,0,0,0,0,1,0,1,5,1,3
Tamasha,302,154,391,2015,7.3,780000000,4,620000000,0,0,1,0,1,0,0,1,0,1,3,0,2
Rangoon,123,141,142,2017,5.7,800000000,4,410400000,1,0,0,0,1,0,0,0,0,0,2,0,0
Jism 2,205,227,515,2012,3,800000000,4,1600000000,0,0,0,0,1,0,0,0,1,0,5,1,1
Welcome Back,51,14,417,2015,4.2,800000000,4,1530000000,1,0,1,1,0,0,0,0,0,0,5,1,1
Chandni Chowk to China,323,112,391,2009,4,800000000,4,1200000000,1,0,1,0,0,0,0,0,0,0,5,1,1
Kesari,93,112,204,2019,7.4,800000000,4,2070900000,1,0,0,0,1,0,0,0,0,1,5,1,3
Besharam,352,154,349,2013,3.6,830000000,4,950000000,1,0,1,0,0,0,0,1,0,0,4,1,1
Dil Dhadakne Do,146,14,461,2015,6.8,830000000,4,1447987500,0,0,1,0,1,0,0,1,0,1,5,1,3
Once Upon a Time in Mumbai Dobaara!,350,112,49,2013,4.6,850000000,4,917000000,1,0,0,1,1,0,0,0,0,0,4,1,1
Housefull 3,264,112,37,2016,5,850000000,4,1950000000,1,0,1,0,0,0,0,0,0,0,5,1,1
My Name Is Khan,283,190,10,2010,8,850000000,4,2230000000,0,0,0,0,1,0,0,0,0,1,5,1,3
Total Dhamaal,33,53,14,2019,4.3,900000000,4,2282700000,1,1,1,0,0,0,0,0,0,0,5,1,1
Singh Is Bliing,199,112,439,2015,5.1,910000000,4,1160000000,1,0,1,0,0,0,0,0,0,0,5,1,1
Action Jackson,199,53,224,2014,3.3,930000000,4,880000000,1,0,0,0,0,0,0,0,1,0,4,1,1
Krrish 3,327,75,102,2013,5.2,950000000,4,3933700000,1,0,0,0,0,0,0,0,0,0,5,1,1
Victory,200,168,480,2009,3.7,1000000000,4,19200000,0,0,0,0,1,0,0,0,0,0,1,0,0
Panipat,203,138,193,2019,5.5,1000000000,4,492900000,1,0,0,0,1,0,0,0,0,0,2,0,0
Bharat,270,79,390,2019,5.3,1000000000,4,3255800000,1,0,0,0,1,0,0,0,0,0,5,1,1
Tubelight,344,79,85,2017,4,1000000000,4,2111400000,0,0,0,0,1,0,0,0,0,0,5,1,1
Shivaay,103,53,411,2016,6.2,1030000000,4,1241455000,1,0,0,0,1,0,0,0,1,0,5,1,1
M.S. Dhoni: The Untold Stor,242,34,424,2016,7.7,1040000000,4,2160000000,0,0,0,0,1,0,0,0,0,1,5,1,3
Dabangg 3,199,79,423,2019,3.4,1050000000,4,2309300000,1,0,1,0,0,0,0,0,0,0,5,1,1
Blue,37,112,193,2009,3.7,1100000000,4,750000000,1,1,0,0,0,0,0,0,1,0,4,1,1
Manikarnika: The Queen of Jhansi,135,142,408,2019,6.4,1100000000,4,1450000000,1,0,0,0,1,0,0,0,0,0,5,1,1
Jab Harry Met Sejal,302,190,287,2017,5.3,1190000000,4,1475000000,0,0,1,0,1,0,0,1,0,0,5,1,1
Bombay Velvet,65,154,287,2015,5.7,1200000000,4,431000000,1,0,0,1,1,0,0,0,0,0,2,0,0
Fan,227,190,245,2016,7,1200000000,4,900000000,1,0,0,0,1,0,0,0,1,1,4,1,3
Hotel Mumbai,285,147,252,2018,7.6,1211000000,4,1477000000,1,0,0,0,1,0,0,0,0,1,5,1,3
Raees,74,87,435,2017,6.8,1270000000,4,2725200000,1,0,0,1,1,0,0,0,0,1,5,1,3
Ra.One,260,190,166,2011,4.6,1300000000,4,2070000000,1,1,0,0,0,0,0,0,0,0,5,1,1
Jagga Jasoos,46,154,390,2017,6.5,1310000000,4,833500000,1,1,1,0,0,0,0,0,0,1,4,1,3
Kick,234,79,280,2014,5.3,1400000000,4,3518000000,1,0,1,0,0,0,0,0,0,0,5,1,1
Kaala,90,164,417,2018,6.8,1400000000,4,1550000000,1,0,0,0,1,0,0,0,0,1,5,1,3
