Name,Director,Actor1,Actor2,Release Year,IMDB Rating,Budget,Bclass,Revenue,Action,Adventure,Comedy,Crime,Drama,Fantasy,Horror,Romance,Thriller,Result,FR,FRR,Final
One Two Three,324,69,202,2008,5.2,140000000,1,270000000,0,0,1,1,0,0,0,0,0,0,2,0,0
Dum Laga Ke Haisha,115,9,165,2015,7.5,140000000,1,420000000,0,0,1,0,1,0,0,1,0,1,2,0,2
Sarkar,107,101,37,2005,7.6,140000000,1,393047500,1,0,0,1,1,0,0,0,0,1,2,0,2
Paheli,240,190,416,2005,6.5,140000000,1,320000000,0,0,0,0,1,1,0,1,0,1,2,0,2
Jayantabhai Ki Luv Story,29,102,380,2013,5.3,145000000,1,39225000,1,0,1,0,0,0,0,1,0,0,1,0,0
Dosti: Friends Forever,326,112,1,2005,5.5,150000000,1,230000000,0,0,0,0,1,0,0,1,0,0,1,0,0
1921,83,214,113,2018,4.4,150000000,1,227400000,0,0,0,0,0,0,1,1,0,0,1,0,0
The Xpose,225,13,469,2014,3.2,150000000,1,227000000,0,0,0,0,0,0,0,0,1,0,1,0,0
Roadside Romeo,243,121,463,2008,5.2,150000000,1,87080000,0,1,1,0,0,0,0,0,0,0,1,0,0
Nanu Ki Jaanu,43,221,536,2018,6.1,150000000,1,41200000,0,0,1,0,1,0,1,0,0,0,1,0,0
Samrat & Co.,163,218,379,2014,6.3,150000000,1,21300000,0,0,0,0,0,0,0,0,1,0,1,0,0
Atithi Tum Kab Jaoge?,324,53,311,2010,6.4,150000000,1,390000000,0,0,1,0,0,0,0,0,0,0,2,0,0
Raaz: The Mystery Continues,228,92,142,2009,5.6,150000000,1,345000000,0,0,0,0,0,0,1,1,0,0,2,0,0
7 Khoon Maaf,123,17,516,2011,6.1,150000000,1,330000000,0,0,0,0,1,0,0,0,1,0,2,0,0
Hate Story 2,165,201,413,2014,4.4,150000000,1,310700000,0,0,0,0,1,0,0,0,1,0,2,0,0
Ek Paheli Leela,129,157,496,2015,3.7,150000000,1,274700000,0,0,0,0,0,0,0,1,1,0,2,0,0
Laaga Chunari Mein Daag: Journey of a Woman,307,26,416,2007,5.3,150000000,1,250000000,0,0,0,0,1,0,0,1,0,0,2,0,0
Main Aurr Mrs Khanna,293,79,463,2009,3.5,150000000,1,250000000,0,0,1,0,1,0,0,1,0,0,2,0,0
Naam Shabana,143,112,514,2017,6.3,150000000,1,560900000,1,0,0,0,0,0,0,0,1,0,3,0,0
Notebook,72,162,477,2019,6.8,150000000,1,37200000,0,0,0,0,1,0,0,1,0,1,1,0,2
Ghost,83,177,386,2019,7.4,150000000,1,18200000,0,0,0,0,0,0,1,0,1,1,1,0,2
Band Baaja Baaraat,227,195,287,2010,7.2,150000000,1,333000000,0,0,1,0,1,0,0,1,0,1,2,0,2
Luck by Chance,146,137,311,2009,7,150000000,1,290000000,0,0,0,0,1,0,0,0,0,1,2,0,2
Vicky Donor,59,9,8,2012,7.8,150000000,1,663200000,0,0,1,0,0,0,0,1,0,1,3,0,2
Aashiqui 2,228,40,364,2013,7,150000000,1,1090000000,0,0,0,0,1,0,0,0,0,1,4,1,3
Gang of Ghosts,174,126,288,2014,3.6,160000000,1,27930000,0,0,1,0,0,0,1,0,0,0,1,0,0
Lekar Hum Deewana Dil,337,122,243,2014,5,160000000,1,25000000,0,0,1,0,0,0,0,1,0,0,1,0,0
Nautanki Saala!,308,9,489,2013,5.8,160000000,1,329322500,0,0,1,0,0,0,0,0,0,0,2,0,0
Waqt: The Race Against Time,271,101,112,2005,6.8,160000000,1,424862500,0,0,1,0,1,0,0,0,0,1,2,0,2
The Ghazi Attack,171,127,337,2017,7.6,160000000,1,345000000,1,0,0,0,0,0,0,0,1,1,2,0,2
Rocket Singh: Salesman of the Year,311,154,474,2009,7.5,160000000,1,330000000,0,0,1,0,1,0,0,0,0,1,2,0,2
Badlapur,299,179,15,2015,7.4,160000000,1,810000000,1,0,0,1,1,0,0,0,0,1,4,1,3
Hate Story IV,165,230,387,2018,3.3,170000000,2,223800000,0,0,0,1,1,0,0,0,1,0,1,0,0
Humko Deewana Kar Gaye,75,112,390,2006,5.2,170000000,2,280000000,0,0,0,0,1,0,0,1,0,0,2,0,0
Ajnabee,133,112,1,2001,6.4,170000000,2,872503551,1,0,0,1,1,0,0,0,0,0,4,1,1
Parineeta,307,121,32,2005,7.2,170000000,2,326000000,0,0,0,0,1,0,0,1,0,1,2,0,2
Jab We Met,302,141,463,2007,7.9,170000000,2,710000000,0,0,1,0,1,0,0,1,0,1,3,0,2
Fugly,193,149,330,2014,4.7,180000000,2,148000000,0,0,0,0,1,0,0,0,1,0,1,0,0
Money Hai Toh Honey Hai,231,80,437,2008,2.8,180000000,2,62625000,0,0,1,0,1,0,0,0,0,0,1,0,0
Kaalakaandi,287,121,274,2018,6.2,180000000,2,61500000,0,0,1,0,0,0,0,0,1,0,1,0,0
Jaane Kahan Se Aayi Hai,137,112,516,2010,3.8,180000000,2,52500000,0,0,1,0,1,1,0,0,0,0,1,0,0
Rush,36,28,357,2012,3.7,180000000,2,45400000,0,0,0,1,0,0,0,0,1,0,1,0,0
Heroes,195,85,64,2008,5.6,180000000,2,254400000,1,1,1,0,0,0,0,0,0,0,2,0,0
The Accidental Prime Minister,275,161,175,2019,6,180000000,2,948000000,0,0,0,0,1,0,0,0,0,0,4,1,1
Awarapan,228,28,241,2007,7.2,180000000,2,122575000,1,0,0,0,1,0,0,1,0,1,1,0,2
Omerta,89,3,247,2017,7,180000000,2,40000000,1,0,0,1,0,0,0,0,0,1,1,0,2
Shootout at Lokhandwala,218,101,193,2007,7.1,180000000,2,460430000,1,0,0,1,0,0,0,0,0,1,2,0,2
Fashion,261,142,516,2008,6.9,180000000,2,600000000,0,0,0,0,1,0,0,0,0,1,3,0,2
Mary Kom,120,39,516,2014,6.8,180000000,2,1040000000,1,0,0,0,1,0,0,0,0,1,4,1,3
The Dirty Picture,329,28,32,2011,6.6,180000000,2,1170000000,0,0,0,0,1,0,0,0,0,1,5,1,3
Naqaab,133,1,175,2007,5.3,190000000,2,212000000,0,0,0,1,1,0,0,1,0,0,1,0,0
Shirin Farhad Ki Toh Nikal Padi,354,93,449,2012,4.2,190000000,2,198675000,0,0,0,0,0,0,0,1,0,0,1,0,0
Aisha,321,114,221,2010,5,190000000,2,286500000,0,0,1,0,1,0,0,1,0,0,2,0,0
Ragini MMS 2,235,157,507,2014,3.9,190000000,2,632900000,0,0,0,0,0,0,1,0,0,0,3,0,0
Kyaa Super Kool Hain Hum,85,90,380,2012,5,190000000,2,610000000,0,0,1,0,0,0,0,0,0,0,3,0,0
Go Goa Gone,186,121,82,2013,6.7,190000000,2,382000000,1,1,1,0,0,0,0,0,0,1,2,0,2
Saheb Biwi Aur Gangster Returns,2,149,288,2013,6.8,190000000,2,288000000,1,0,0,1,1,0,0,0,0,1,2,0,2
Ishqiya,334,5,32,2010,7.3,190000000,2,250000000,0,0,1,0,1,0,0,1,0,1,2,0,2
Tanu Weds Manu,310,199,142,2011,6.7,190000000,2,688200000,0,0,1,0,1,0,0,1,0,1,3,0,2
Dhamaal,33,193,90,2007,7.3,190000000,2,507330000,1,1,1,0,0,0,0,0,0,1,3,0,2
Mulk,260,203,514,2018,6.8,190000000,2,932794214,0,0,0,0,1,0,0,0,0,1,4,1,3
Why Cheat India,21,28,367,2019,6,200000000,2,86600000,0,0,0,1,1,0,0,0,0,0,1,0,0
Dus Kahaniyaan,154,186,282,2007,5.7,200000000,2,350000000,0,0,0,0,1,0,0,0,0,0,2,0,0
Ladies vs. Ricky Bahl,227,195,287,2011,5.9,200000000,2,840000000,0,0,1,0,1,0,0,1,0,0,4,1,1
ABCD (Any Body Can Dance),110,148,305,2013,6.3,200000000,2,760000000,0,0,0,0,1,0,0,0,0,0,4,1,1
Jaane kyun de yaaron,259,209,395,2018,4.7,200000000,2,760000000,0,0,0,0,1,0,0,0,0,0,4,1,1
Karthik Calling Karthik,4,137,391,2010,7,200000000,2,187500000,0,0,0,0,1,0,0,0,1,1,1,0,2
The Legend of Bhagat Singh,166,53,483,2002,8.1,200000000,2,129350000,1,0,0,0,1,0,0,0,0,1,1,0,2
Neerja,141,114,320,2016,7.7,200000000,2,1355200000,0,0,0,0,1,0,0,0,1,1,5,1,3
Lage Raho Munna Bhai,22,193,211,2006,8.1,200000000,2,1280000000,0,0,1,0,1,0,0,1,0,1,5,1,3
Mere Brother Ki Dulhan,270,49,390,2011,5.8,210000000,2,856000000,0,0,1,0,0,0,0,1,0,0,4,1,1
Rann,107,101,90,2010,6.9,210000000,2,137600000,0,0,0,0,1,0,0,0,1,1,1,0,2
Bhavesh Joshi Superhero,39,232,263,2018,7.6,210000000,2,14500000,1,0,0,0,1,0,0,0,0,1,1,0,2
Pari,7,213,287,2018,6.6,210000000,2,404100000,0,0,0,0,0,1,1,0,0,1,2,0,2
Gangs of Wasseypur,65,80,119,2012,8.2,210000000,2,379699000,1,0,1,1,0,0,0,0,0,1,2,0,2
"Swades: We, the People",203,190,296,2004,8.2,210000000,2,342000000,0,0,0,0,1,0,0,0,0,1,2,0,2
Namastey London,294,112,390,2007,7.1,210000000,2,714000000,0,0,1,0,1,0,0,1,0,1,3,0,2
Mardaani,307,135,416,2014,7.3,210000000,2,897000000,1,0,0,1,1,0,0,0,0,1,4,1,3
Main Hoon Na,241,190,418,2004,7,210000000,2,840000000,1,0,1,0,1,0,0,0,0,1,4,1,3
